time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010473349642	75.0071	25.2271	2.00123	0.303311	0.250475	lidar	1.53371	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626
1477010473349642	75.0013	25.2216	2.03403	0.298024	0.244991	radar	0.0467054	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626
1477010474349642	77.1129	24.9684	1.95989	-0.255682	-0.332873	lidar	1.96427	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978
1477010474349642	77.1336	24.9738	1.97352	-0.261931	-0.342391	radar	0.161021	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978
1477010475349642	79.0858	25.0027	1.91368	0.0974769	0.171187	lidar	1.64541	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607
1477010475349642	79.0909	25.0089	1.85465	0.100293	0.172596	radar	0.0854283	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607
1477010476349642	80.8104	24.8869	1.80551	-0.0566836	-0.0600923	lidar	0.33617	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536
1477010476349642	80.8503	24.8913	1.722	-0.0763834	-0.0984885	radar	1.09808	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536
1477010477349642	82.6045	24.639	1.96705	-0.168511	-0.087341	lidar	0.164031	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012
1477010477349642	82.577	24.6255	1.78833	-0.212184	-0.146393	radar	0.292633	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012
1477010478349642	84.1699	24.5336	1.6956	-0.023466	0.0854809	lidar	0.323291	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444
1477010478349642	84.1737	24.536	1.64646	-0.0258311	0.0791553	radar	0.0681119	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444
1477010479349642	85.6473	23.8413	1.586	-0.55542	-0.341969	lidar	1.07364	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006
1477010479349642	85.7097	23.8709	1.74577	-0.496209	-0.26667	radar	0.906494	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006
1477010480349642	86.9514	23.4972	1.28105	-0.357951	0.00273196	lidar	0.856669	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654
1477010480349642	87.066	23.5305	1.35775	-0.277587	0.0629253	radar	3.78	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654
1477010481349642	88.7808	22.8075	2.0924	-0.458153	-0.0993521	lidar	1.41654	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514
1477010481349642	88.7043	22.7728	1.89257	-0.571333	-0.23168	radar	1.19209	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514
1477010482349642	89.5478	22.2735	0.921916	-0.665681	-0.186819	lidar	2.22429	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904
1477010482349642	89.6194	22.2854	1.11297	-0.592059	-0.104691	radar	0.989746	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904
1477010483349642	90.5039	21.6646	1.18596	-0.611032	-0.043293	lidar	0.0447069	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241
1477010483349642	90.5939	21.6868	1.32559	-0.494196	0.0609074	radar	1.77778	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241
1477010484349642	91.7111	21.1142	1.40058	-0.385086	0.0939955	lidar	0.0249484	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964
1477010484349642	91.7606	21.127	1.2718	-0.39514	0.0437107	radar	2.05324	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964
1477010485349642	92.8539	20.9362	1.19855	-0.0558441	0.238381	lidar	0.239803	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443
1477010485349642	92.9166	20.9598	1.06576	-0.0237805	0.245092	radar	2.50376	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443
1477010486349642	93.5055	20.2817	0.506422	-0.669479	-0.321854	lidar	3.03347	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919
1477010486349642	93.5894	20.323	0.899109	-0.573522	-0.204309	radar	2.0214	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919
1477010487349642	95.2185	19.6595	2.06833	-0.041991	0.29074	lidar	5.29395	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439
1477010487349642	95.0182	19.6527	1.31112	-0.362642	0.0331425	radar	7.54811	94.494	19.8854	94.8209	20.01	0.893308	-0.497439
1477010488349642	95.5597	19.6693	0.442853	-0.0650911	0.186989	lidar	2.00611	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816
1477010488349642	95.5934	19.6588	0.696884	-0.0551914	0.203363	radar	0.487326	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816
1477010489349642	96.2595	19.2287	0.731863	-0.612279	-0.274743	lidar	1.58766	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589
1477010489349642	96.315	19.2539	0.923899	-0.524923	-0.187208	radar	0.72575	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589
1477010490349642	97.4729	18.7281	1.53807	-0.3053	0.0707554	lidar	1.519	97.5286	18.727	97.45	18.506	0.868716	-0.503009
1477010490349642	97.4299	18.7206	1.28533	-0.425329	-0.0431883	radar	0.655366	97.5333	18.1735	97.45	18.506	0.868716	-0.503009
1477010491349642	98.2303	18.363	0.953077	-0.386333	0.000631437	lidar	0.278057	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023
1477010491349642	98.2518	18.368	0.941222	-0.378118	9.41438e-05	radar	0.210606	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023
